relative_path,slug,title,category,status,repository,file_page_url,source_url,author,license,license_url,attribution_required,restrictions,brand_source,notes
Computer/index.jpg,computer,Computer,Computer,replaced,Pixabay,https://pixabay.com/photos/board-electronics-computer-453768/,https://pixabay.com/users/blickpixel-52945/,blickpixel,Pixabay License,https://pixabay.com/service/license/,no,,,matched to Original/board-electronics-computer-data-processing-50711.jpeg
Computer/Game/Index.jpg,technology/computer/game,Game,Game,replaced,Pexels,https://www.pexels.com/photo/kick-chess-piece-standing-131616/,https://images.pexels.com/photos/131616/pexels-photo-131616.jpeg,George Becker,Pexels License,https://www.pexels.com/license/,no,,,matched to Original/pexels-photo-131616.jpeg
Computer/OS/Index.jpg,technology/computer/os,OS,OS,replaced,Pexels,https://www.pexels.com/photo/black-internal-hdd-on-black-surface-117729/,https://images.pexels.com/photos/117729/pexels-photo-117729.jpeg,Bohed,Pexels License,https://www.pexels.com/license/,no,,,matched to Original/analogue-business-close-up-117729.jpg
Computer/OS/Android/index.svg,technology/computer/os/android,Android,OS,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/android.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/android.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://partnermarketinghub.withgoogle.com/brands/android/visual-identity/visual-identity/logo-lock-ups,
Computer/OS/Cygwin/index.svg,technology/computer/os/cygwin,Cygwin,OS,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3ACygwin_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/29/Cygwin_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Unknown author,Public domain,,no,,,
Computer/OS/Ios/index.svg,technology/computer/os/ios,Ios,OS,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/ios.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/ios.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://en.wikipedia.org/wiki/IOS,
Computer/OS/Mac/index.svg,technology/computer/os/mac,Mac,OS,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/macos.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/macos.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://commons.wikimedia.org/wiki/File:MacOS_wordmark_(2017).svg,
Computer/OS/Nix/index.svg,technology/computer/os/nix,Nix,OS,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.22.0/icons/linux.svg,https://raw.githubusercontent.com/simple-icons/simple-icons/15.22.0/icons/linux.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://www.linuxfoundation.org/the-linux-mark/,manual repair
Computer/OS/Windows/index.svg,technology/computer/os/windows,Windows,OS,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AWindows_11_logo.svg,https://upload.wikimedia.org/wikipedia/commons/e/e6/Windows_11_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Microsoft,Public domain,,no,,,
Computer/Program/Adobe_illustrator/index.svg,technology/computer/program/adobe_illustrator,Adobe illustrator,Program,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AAdobe_Illustrator_CC_icon.svg,https://upload.wikimedia.org/wikipedia/commons/f/fb/Adobe_Illustrator_CC_icon.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,™/®Adobe Inc.,Public domain,,no,,,
Computer/Program/Adobe_premier_pro/index.svg,technology/computer/program/adobe_premier_pro,Adobe premier pro,Program,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AAdobe_Premiere_Pro_CC_icon.svg,https://upload.wikimedia.org/wikipedia/commons/4/40/Adobe_Premiere_Pro_CC_icon.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Adobe Inc.,Public domain,,no,,,
